JOB_TITLE,COMPANY_NAME,CITY,DATE,URL
The Dock - DevOps Engineer,Accenture,Dublin,n/a,http://www.indeed.ie/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2LpBSonaMyrOZwthJDf6JGy4Dyt2M_Xc8eyPXjpAs5t0TKN1UfVPBzqnC6NeGtWa5Fco1vKuFZgnOUccUOYOw3ZKLhJsJnCGyLllR_AUrAGpXYkwy0tbgVDXuQULF-VvS1J-E_ezVJD3EEq4pr6k-Jy_S-J0BY0fEjcdwZCXI1ETD3Vt8LRJnmSdPOKm8xV85OjdlahfQ4jR4RxUqA5rbAwJcgs7JKUrYb9KhktyO7O4tadY3Zo6DysOm0JHIF7tJBFR833Jl6KDqLWAD-jY-aGPgx7tvRfnCTE-CrkuqZp2Hgp9PdwxdU99h211MyIvwzD33rVJmY8hd_vgTYMpN1Kj56KeL76HPvQvlTnxHTDEFfjbSo9nFJQKY2Ml_gNg6oorWhGymgP5oxyI0-6nDdE1I1bbY6uXNYLqEWBHEAVW3j4bhy0dXkw=&p=1&sk=&fvj=0
Ruby on Rails Developer,GemPool,Dublin,n/a,http://www.indeed.ie/pagead/clk?mo=r&ad=-6NYlbfkN0AMlGcm9lM6BeyrqJm4x3XkLFbLXL9MDq6UwxabFllNd80JFL-cRuCEZkFrRz8al5v5G_tQ-fUBv_iElEuaaCV-j4OoCf4hHVveCfAaG4OBM5c90Gg_jpQH4do4YPOlRpCDLfEMXdWRnSGCPVSh_V4q4f8FUTw9q5pd3Sdu9w2J1o4ARwgitPyQr2N0dbz3gMDd5KdWFT6BgZCIouLF8bVrtDXf9mkDP7noE8wCLNsZlpQDRj-E-5bPaBJfEbQFWlw1ep1J7dgNOy2JFA26mMNNamXbm2HJWxr3oUTWU3R_wv9F8mK5Iykg_jZAwFmiLlFJ6q7T_YsPHqTk62tw9DYhxvQY0cYcbkK2dE2bX6-yHPZOEcvKX0ZfaIWsnKl9Qelol84QDgO8q8k8JXfXjWoVXM6a3JrqHNg=&p=2&sk=&fvj=1
Automation Tester - BDD,Computer Futures,Dublin,n/a,http://www.indeed.ie/pagead/clk?mo=r&ad=-6NYlbfkN0BAZDWJES33yPxwH-8beODdSL3mKw2FjM2UfRizZnEXINT-vJz8W1Qy_neSNQOYFtIhtMA4MKzbw9JW8rJ9MXWdknmQxLVeukkh98xNjmsQJ8MLaB2vRHl0AD-c9IB6dDoLCaj9sqQffy4BKZIhpvNtte1CTZ916fYreaDa_S3HXbCyA32Tcg9-XbGdbJ4DC-IPYMUw32m1XFWVFwDx2xYe7GneZt2JzXJ6r9FeGRIUdRG__rIs0xr_n7ESmK5hjjXndFxcW_Gucmc2p5tzaGxFgcJ2njIEJbs3HQIgwuThmflUhbVoMg_LTLspxQUhEIJO-OX3Bb8kGxPrG5lrRzbpzwlbjI4UVnyRBw1EYBSRQJm4lnGa0D88p7FV1GH_VVBGc8DRE-ixnZmVgGIb_Y4N_lV8EVu-gbsG2C1yRJQ3m3yZUr9EGuz-YkUb4ZTCy4naPOKhEX_VYwUvZP8zxOltSfutmFlt3PSELSu03xl2fykzNEfHpHxZcLcm80DHogC0MiqqNORYtfgXm96ypoqYpPNWAzuS4AwO9Lu76KvBb3fW0-ZE_JxaTWRVmUpfs8Mj73CEFFMohuwIQrehx2mevr55lVCircw5N5hSFrLSyHx6sw_Y8nPmtfHgVaWDpN2RSD1e-Q8ID7XJnEM1MvxO&p=3&sk=&fvj=0
"Software Engineer, Ruby on Rails",Kitman Labs,Dublin,2017-01-18,http://www.indeed.ie/rc/clk?jk=4482d67413e04c4f&fccid=4ae8a237d776fc72
Ruby/RoR Software Engineer,Web Summit,Dublin,2017-01-18,http://www.indeed.ie/rc/clk?jk=0bc344472029b65a&fccid=753376366828aaad
Ruby/Python Software Engineer,Software Placements,Dublin,2017-01-20,http://www.indeed.ie/rc/clk?jk=ec2be41aaa83f36a&fccid=4e409639ae5e29c2
Front End Ruby Software Engineer - Production Engineering,Workday,Dublin,2017-01-18,http://www.indeed.ie/rc/clk?jk=efb1b56f3e0226a6&fccid=9ac45d217f8342a1
Software engineer,Wattics,Dublin,2017-01-18,http://www.indeed.ie/rc/clk?jk=285ccbed6a8dcea6&fccid=3101a7bf9b3dfcc6
Software Development Engineer,Amazon Data Services Ireland Limited,Dublin,2017-01-17,http://www.indeed.ie/rc/clk?jk=9ebd67c1459a4253&fccid=fe2d21eef233e94a
Software Developer,GameStop Europe Services Ltd,Dublin,2017-01-18,http://www.indeed.ie/company/GameStop/jobs/Software-Developer-3ec21588adaabeba?fccid=30e83715af18f650
Software Development Engineer,Workday,Dublin,2017-01-20,http://www.indeed.ie/rc/clk?jk=9c1bafd4a51338bb&fccid=9ac45d217f8342a1
Junior Software Developer,Pagefair,Dublin,2017-01-18,http://www.indeed.ie/rc/clk?jk=ff338b3ed4d43bab&fccid=ca7c692cc9511e76
