Ruby Engineer,"San Jose, CA",Flexton In..,2016-01-18,10282686,333234,https://www.dice.com/jobs/detail/Ruby-Engineer-Flexton-Inc-San-Jose-CA-95101/10282686/333234?icid=sr1-1p&q=ruby&l=San Jose
Ruby Software Engineer (Remote or Relocation Paid),"San Jose, CA",CyberCoder..,2016-01-18,cybercod,DN2-12572411,https://www.dice.com/jobs/detail/Ruby-Software-Engineer-%28Remote-or-Relocation-Paid%29-CyberCoders-San-Jose-CA-95101/cybercod/DN2-12572411?icid=sr2-1p&q=ruby&l=San Jose
"Lead Java Developer - Spring, Hibernate (Python, Perl OR Ruby)","San Jose, CA",CyberCoder..,2016-01-18,cybercod,BJ1-114983053,https://www.dice.com/jobs/detail/Lead-Java-Developer-%26%2345-Spring%2C-Hibernate-%28Python%2C-Perl-OR-Ruby%29-CyberCoders-San-Jose-CA-95101/cybercod/BJ1-114983053?icid=sr3-1p&q=ruby&l=San Jose
Ruby on Rails SW Developer,"San Jose, CA",Analysts I..,2016-01-15,CXAICBP,362325,https://www.dice.com/jobs/detail/Ruby-on-Rails-SW-Developer-Analysts-International-San-Jose-CA-95101/CXAICBP/362325?icid=sr4-1p&q=ruby&l=San Jose
Seeking a Senior Ruby on Rails Lead / Architect,"San Jose, CA",OSI Engine..,2016-01-04,10365912,RubyRailsFronte,https://www.dice.com/jobs/detail/Seeking-a-Senior-Ruby-on-Rails-Lead-%26%2347-Architect-OSI-Engineering%2C-Inc.-San-Jose-CA-95131/10365912/RubyRailsFronte?icid=sr5-1p&q=ruby&l=San Jose
Ruby Developer / Ruby on Rails Developer,"San Jose, CA",Quality IT..,2015-12-28,10122314,RORDEV1,https://www.dice.com/jobs/detail/Ruby-Developer-%26%2347-Ruby-on-Rails-Developer-Quality-IT-Source-San-Jose-CA-95101/10122314/RORDEV1?icid=sr6-1p&q=ruby&l=San Jose
Ruby Developer ((10 + years),"San Jose, CA",Yash Techn..,2016-01-18,10111847,358260,https://www.dice.com/jobs/detail/Ruby-Developer-%28%2810-%2B-years%29-Yash-Technologies-San-Jose-CA-95101/10111847/358260?icid=sr7-1p&q=ruby&l=San Jose
"Senior Web Developer, RoR","San Jose, CA","Move, Inc.",2016-01-18,"","",http://www.dice.com/job/result/homestor/4692?icid=sr8-1p
Mobile Software Test Engineer,"San Jose, CA",Earth Netw..,2016-01-04,RTX1923b6,640261,https://www.dice.com/jobs/detail/Mobile-Software-Test-Engineer-Earth-Networks-San-Jose-CA-95110/RTX1923b6/640261?icid=sr9-1p&q=ruby&l=San Jose
Digital Design Verification Lead,"San Jose, CA",Synaptics ,2016-01-13,10230147,10720,https://www.dice.com/jobs/detail/Digital-Design-Verification-Lead-Synaptics-San-Jose-CA-95131/10230147/10720?icid=sr10-1p&q=ruby&l=San Jose
