.Net Developer (Need React or Angular),Prosum,"El Segundo, CA",6/21/2017,Company Id : prosum,Job Id : TL16621,"https://www.dice.com/jobs/detail/.Net-Developer-%28Need-React-or-Angular%29-Prosum-El-Segundo-CA-90245/prosum/TL16621?icid=sr1-1p&q=&l=West%20Hollywood,%20CA"
SOA Lead Architect,"iSpace, Inc","Los Angeles, CA",6/21/2017,Company Id : 10106153,Job Id : LASOAARCH001,"https://www.dice.com/jobs/detail/SOA-Lead-Architect-iSpace%2C-Inc-Los-Angeles-CA-90017/10106153/LASOAARCH001?icid=sr2-1p&q=&l=West%20Hollywood,%20CA"
JDE Enterprise One Senior Programmer Analyst - No C2C,IMS,"Hawthorne, CA",6/21/2017,Company Id : imssvs,Job Id : BBBH5742-600,"https://www.dice.com/jobs/detail/JDE-Enterprise-One-Senior-Programmer-Analyst-%26%2345-No-C2C-IMS-Hawthorne-CA-90303/imssvs/BBBH5742%26%2345600?icid=sr3-1p&q=&l=West%20Hollywood,%20CA"
Director of Medicare Product Development,Molina Healthcare,"Long Beach, CA",6/21/2017,Company Id : 10121991,Job Id : 175449-724,"https://www.dice.com/jobs/detail/Director-of-Medicare-Product-Development-Molina-Healthcare-Long-Beach-CA-90822/10121991/175449%26%2345724?icid=sr4-1p&q=&l=West%20Hollywood,%20CA"
PCB Designer,"APN Software Services, Inc","Anaheim, CA",6/21/2017,Company Id : apn,Job Id : 2568,"https://www.dice.com/jobs/detail/PCB-Designer-APN-Software-Services%2C-Inc-Anaheim-CA-92801/apn/2568?icid=sr5-1p&q=&l=West%20Hollywood,%20CA"
QA Manager,Gemalto SA,"Pasadena, CA",6/21/2017,Company Id : 10281111,Job Id : 17001455-73,"https://www.dice.com/jobs/detail/QA-Manager-Gemalto-SA-Pasadena-CA-91106/10281111/17001455%26%234573?icid=sr6-1p&q=&l=West%20Hollywood,%20CA"
Senior Data Scientist - Los Angeles,Roc Search US,"Culver City, CA",6/21/2017,Company Id : 90753462,Job Id : BBBH3155-765,"https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-Los-Angeles-Roc-Search-US-Culver-City-CA-90230/90753462/BBBH3155%26%2345765?icid=sr7-1p&q=&l=West%20Hollywood,%20CA"
Enterprise Account Executive,Dunhill Professional Search,"Los Angeles, CA",6/21/2017,Company Id : 10238000,Job Id : 6943-832,"https://www.dice.com/jobs/detail/Enterprise-Account-Executive-Dunhill-Professional-Search-Los-Angeles-CA-90013/10238000/6943%26%2345832?icid=sr8-1p&q=&l=West%20Hollywood,%20CA"
Regional Sales Manager,Dunhill Professional Search,"Los Angeles, CA",6/21/2017,Company Id : 10238000,Job Id : 4935-565,"https://www.dice.com/jobs/detail/Regional-Sales-Manager-Dunhill-Professional-Search-Los-Angeles-CA-90013/10238000/4935%26%2345565?icid=sr9-1p&q=&l=West%20Hollywood,%20CA"
Infrastructure Project Manager - Cisco Telephony,Nigel Frank International,"Santa Monica, CA",6/21/2017,Company Id : 10371697,Job Id : JDAIPM6517-278,"https://www.dice.com/jobs/detail/Infrastructure-Project-Manager-%26%2345-Cisco-Telephony-Nigel-Frank-International-Santa-Monica-CA-90401/10371697/JDAIPM6517%26%2345278?icid=sr10-1p&q=&l=West%20Hollywood,%20CA"
