Title,Link,Description,Company,Company Site,Location,Date
Software Developer,/cmp/Florical-Systems/jobs/Software-Developer-856de7ad585e8b12?r=1&fccid=6649db1d40ce7469,Florical Systems is growing and looking for software developers to be on the forefront of the IP revolution in television....,Florical Systems,,"Tampa, FL",2016_11_01  5 PM
Applications Developer,/rc/clk?jk=24dbc95ce12e764c&fccid=c46d0116f6e69eae,Informatica Applications Developer. Bachelor's degree in Computer Science or related field with 5+ years experience as a software developer....,JPMorgan Chase,/cmp/JPMorgan-Chase,"Tampa, FL",2016_11_14  1 PM
Software Developer,"/cmp/Cellacore,-Inc./jobs/Software-Developer-656390416c35c84c?r=1&fccid=08d2f416b900378e",Is looking for a Software Developer with .Net and SQL experience. Are you passionate about technology?...,"Cellacore, Inc.",,"Tampa, FL",2016_11_08  5 PM
Web Content Administrator/ Front End Developer,/rc/clk?jk=9e789eddcb972484&fccid=b9a5944ce9a9d944,9557 / Web Content Administrator/Front End Developer. The Front-End Web Developer (Web Content Administrator) is a developer adept at user-interfaces who...,University of South Florida,/cmp/University-of-South-Florida,"Tampa, FL",2016_11_07  5 PM
Application Developer,/rc/clk?jk=a565f237e2b73098&fccid=051776950cb8eb3c,"Developer joining the Development department at DATIS, you will become part of. Currently seeking an opportunity within an exhilarating and rewarding....",Datis,,"Tampa, FL",2016_11_08  5 PM
Software Developer,/rc/clk?jk=87b842be6c9af836&fccid=7361f6f0b2b2d7f8,"C#, .NET, Salesforce, web developer, programmer, application developer, corporate, IT. WE ARE LOOKING FOR A SOFTWARE DEVELOPER WITH A PASSION FOR TECHNOLOGY WHO...",Rand Worldwide,/cmp/Rand-Worldwide,"Tampa, FL 33614",2016_11_09  5 PM
Entry Level Java Software Engineer,/cmp/PilotFish-Technology/jobs/Entry-Level-Java-Software-Engineer-024476887e3c2103?r=1&fccid=d85896aed6e6a1c8,Start your career with a fast growing company with an Apple-like culture and lots of opportunity. PilotFish is a software company that is solving the,PilotFish Technology,,"Tampa, FL",2016_11_14  8 AM
Software Developer,/rc/clk?jk=59a6a04c77804a0a&fccid=1d69e9a5b2cfbeca,Proven experience working in an agile development environment and collect customer requirements. About solving challenging problems?...,Novetta,,"Tampa, FL",2016_11_09  5 PM
Software Engineer,/rc/clk?jk=b3af9b4904b63706&fccid=ddf188c30da34688," Participate in a small, experienced, energetic team on a rapid, agile development schedule. Maintain existing solutions developed in .NET and SQL, including...",Infor,/cmp/Infor,"Tampa, FL",2016_11_11  5 PM
Software Developer,/rc/clk?jk=f590988532f670e2&fccid=91b2f236d8c9742d,"We're looking for software developers to work with an amazing team in our Tampa, Florida office. If you're a MEAN stack developer interested in tech like...",352 Inc.,,"Tampa, FL",2016_10_25  5 PM
Front End Angular Developer,/rc/clk?jk=0dcf883466153334&fccid=bbdabce6498d818b,"The Front End Angular Developer is responsible for the design, prototyping, mock-up, development, and tuning of all user interface elements of a complex web...",Consultis,/cmp/Consultis,"Tampa, FL",2016_10_24  5 PM
Full Stack Web Developer,"/cmp/InterBay-Applications,-LLC/jobs/Full-Stack-Web-Developer-a585368336afd8d4?r=1&fccid=3a719294221ed592",We are looking for a full stack developer that loves to learn and thrives in a challenging and demanding environment....,"InterBay Applications, LLC",,"Tampa, FL",2016_10_15  5 PM
Fire Alarm programmer Gamewell FCI,/cmp/Fort-Knox-Fire-and-Communications/jobs/Fire-Alarm-Programmer-Gamewell-Fci-d03d431aefad1d12?r=1&fccid=b6c25d3ac591d754,"Programming GamewellFCI Fire Alarm E3,S3,7100 and 600 series Fire Alarm panels. Programming Notifier Addressable Fire Alarm Panels Programming Silent Knight",Fort Knox Fire & Communications,,"Tampa, FL 33634",2016_10_15  5 PM
Senior Application Developer (.NET),/rc/clk?jk=91a5df583cd39fbc&fccid=d7e05b9acdf9d9e5,"Track record of dealing with challenging stakeholders, developers and architects during facilitated sessions and during the development lifecycle....",CoAdvantage,/cmp/Coadvantage,"Tampa, FL",2016_10_28  5 PM
Front End Web Developer,/cmp/Integrated-Solutions-Management-(ISM)/jobs/Front-End-Web-Developer-499e22150948fac6?r=1&fccid=94dff82ea5be2cdf,Front End Web Developer:. Front End Web Applications Developer*. Front End Web Applications Developer will create and expand out-of-the-box CMS portals using...,Integrated Solutions Management (ISM),,"Tampa, FL",2016_11_01  5 PM
Application Developer - Java,/rc/clk?jk=2e20efe005b25416&fccid=c46d0116f6e69eae,Application Developer - Java. The Application Developer will identify and troubleshoot application code-related issues to provide superior feedback for approved...,JPMorgan Chase,/cmp/JPMorgan-Chase,"Tampa, FL",2016_10_15  5 PM
Java Developer,/rc/clk?jk=a9e1beed15ca1a5e&fccid=2083e3d4c1b62f16,"The ideal candidate for the Java Developer position will posses:. In this position, the Java developer will design and implement J2EE solutions and work with...",Sogeti,/cmp/Sogeti-USA-LLC,"Tampa, FL 33602 (Downtown area)",2016_10_15  5 PM
.NET Developer,/rc/clk?jk=494bbd84c1999887&fccid=b6afd2991da0a49d,"FreightCenter, and industry leading a freight and logistics company, is seeking an experienced full-stack web/application developer to join our growing team....",FreightCenter Inc,,"Palm Harbor, FL 34684",2016_11_08  5 PM
Full-Stack Developer,/cmp/Skybridge-Resources/jobs/Full-Stack-Developer-cb5b7b681bdc8577?r=1&fccid=a70aa337c213880e,Comfort as a full stack developer. SkyBridge Resources is looking for multiple Java Developers to join a growing team with an enterprise level client of ours in...,Skybridge Resources,/cmp/Skybridge-Resources,"Saint Petersburg, FL 33716",2016_10_15  5 PM
Software Developer,/cmp/UpValet-Inc/jobs/Software-Developer-80be8fc5ea388f3a?r=1&fccid=c8dee95206b6a43b,Most importantly coach and mentor existing developers at UpValet. Software Developer / iOS (Objective-C ) / Xcode / NodeJS / MongoDB/ Angular.JS / Restful Web...,UpValet,,"Tampa, FL",2016_10_15  5 PM
.Net Developer,/cmp/CGS-Technology-Associates/jobs/Net-Developer-9bfefbad135ca493?r=1&fccid=d1b946c8ee695c8a,Leading fortune 500 firm has an opening for a .net Developer. Ideal candidate will have 5-8 years solid .net experience....,"CGS Technology Associates, Inc.",,"Tampa, FL 33602 (Downtown area)",2016_10_15  5 PM
Senior PHP Developer,/cmp/IntellaPro/jobs/Senior-PHP-Developer-07e5d2dca8993724?r=1&fccid=e28df75d34198e21,"IntellaPro is hiring for one of our clients in the Tampa Bay area, for a permanent full time Senior PHP Developer. The ideal candidate will have:....",IntellaPro,,"Clearwater, FL",2016_10_26  5 PM
Software Engineer TS/SCI,/rc/clk?jk=7d7fec4cb5ba6967&fccid=216eb700022de6f6,Hewlett Packard Enterprise has an immediate need in our US Public Sector Consulting Organization for a Software Developer in Tampa Bay Florida Will ensure,Hewlett Packard Enterprise,/cmp/Hewlett-Packard-Enterprise,"Tampa, FL",2016_10_15  5 PM
"Sr Developer, Web",/rc/clk?jk=42908d04b2a09fb8&fccid=11caadcdc98800d4,The developer / engineer is a part of a small team of Web platform developers to meet the requirements of an evolving US Army program of record....,General Dynamics Information Technology,/cmp/General-Dynamics-Information-Technology,"Tampa, FL",2016_10_31  5 PM
