Ruby Developer,Kane Partners Staffing,https://www.dice.com/jobs/detail/Ruby-Developer-Kane-Partners-Staffing-Philadelphia-PA-19103/10195207/887420?icid=sr1-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 6 days ago
Ruby Developer (Rubyist) - W2,"Computer Enterprises, Inc.",https://www.dice.com/jobs/detail/Ruby-Developer-%28Rubyist%29-%26%2345-W2-Computer-Enterprises%2C-Inc.-Philadelphia-PA-19103/ceiam/AKJO037524?icid=sr2-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 9 hours ago
QA Automation Tester(iOS/Android/Ruby),Cygnus Professionals,https://www.dice.com/jobs/detail/QA-Automation-Tester%28iOS%26%2347Android%26%2347Ruby%29-Cygnus-Professionals-Philadelphia-PA-19092/10426508/QAIAR-MWK?icid=sr3-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 9 hours ago
"Web Developer (Assoc/Mid-level/Senior), School of Medicine",Penn Medicine,https://www.dice.com/jobs/detail/Web-Developer-%28Assoc%26%2347Mid%26%2345level%26%2347Senior%29%2C-School-of-Medicine-Penn-Medicine-Philadelphia-PA-19019/10303860/60567?icid=sr4-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 10 hours ago
Data Science Software Engineer,Penn Medicine,https://www.dice.com/jobs/detail/Data-Science-Software-Engineer-Penn-Medicine-Philadelphia-PA-19019/10303860/62577?icid=sr5-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 10 hours ago
Software Engineer - Python / Django - Civic Apps,Bebee Affinity Social Network,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Python-%26%2347-Django-%26%2345-Civic-Apps-Bebee-Affinity-Social-Network-Philadelphia-PA-19019/90940991/BBA000013042768?icid=sr6-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 13 hours ago
Software Developer,Volt,https://www.dice.com/jobs/detail/Software-Developer-Volt-Philadelphia-PA-19019/cxvolt/J3L14X6W50Q8TYNLPKP?icid=sr7-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 11 hours ago
Front End Developer - JavaScript without Frameworks,"Computer Enterprises, Inc.",https://www.dice.com/jobs/detail/Front-End-Developer-%26%2345-JavaScript-without-Frameworks-Computer-Enterprises%2C-Inc.-Philadelphia-PA-19103/ceiam/AKJO037843?icid=sr8-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 6 days ago
"Principal Engineer, Software Development & Engineering",Bebee Affinity Social Network,https://www.dice.com/jobs/detail/Principal-Engineer%2C-Software-Development-%26-Engineering-Bebee-Affinity-Social-Network-Philadelphia-PA-19019/90940991/BBA000013042811?icid=sr9-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 13 hours ago
Infrastructure - Technical Software Support Engineer III,Business One Consulting,https://www.dice.com/jobs/detail/Infrastructure-%26%2345-Technical-Software-Support-Engineer-III-Business-One-Consulting-Philadelphia-PA-19109/10195908/ZR_380_JOB?icid=sr10-1p&q=ruby developer&l=philadelphia,"Philadelphia, PA",Posted 4 weeks ago
