Title,Link,Description,Company,Company Site,Location,Date
Sharepoint Developer/Administrator 3/4,https://www.dice.com/jobs/detail/Sharepoint-Developer%26%2347Administrator-3%26%23474-NORTHROP-GRUMMAN-Tampa-FL-33601/ngitbot/16014011?icid=sr1-1p&q=Developer&l=33613,"Northrop Grumman is seeking an experienced SharePoint Developer/Administrator to join our team of qualified, diverse...",NORTHROP GRUMMAN,https://www.dice.com/company/ngitbot,"Tampa, FL",2016-11-13 22:48:34 -0500
Mobile Application Software Developer 3/4,https://www.dice.com/jobs/detail/Mobile-Application-Software-Developer-3%26%23474-NORTHROP-GRUMMAN-Tampa-FL-33601/ngitbot/16014002?icid=sr2-1p&q=Developer&l=33613,Northrop Grumman is seeking an experienced Mobile Application Software Developer participating as part of a...,NORTHROP GRUMMAN,https://www.dice.com/company/ngitbot,"Tampa, FL",2016-11-13 22:48:34 -0500
Salesforce Developer (Valpak),https://www.dice.com/jobs/detail/Salesforce-Developer-%28Valpak%29-Cox-Media-Group-Saint-Petersburg-FL-33701/coxga/1613675?icid=sr3-1p&q=Developer&l=33613,"Description Valpak, one of the leading direct marketing companies in North America , is looking for a Salesforce...",Cox Media Group,https://www.dice.com/company/coxga,"Saint Petersburg, FL",2016-11-12 18:48:34 -0500
Oracle HCM Cloud (Fusion) Solution Developer -...,https://www.dice.com/jobs/detail/Oracle-HCM-Cloud-%28Fusion%29-Solution-Developer-%26%2345-USDC-Deloitte-Tampa-FL-33601/10106525/24280322000005732?icid=sr4-1p&q=Developer&l=33613,"O v erview Deloitte is one of the leading professional services organizations in the United States, specializing in...",Deloitte,https://www.dice.com/company/10106525,"Tampa, FL",2016-11-14 06:48:34 -0500
SuccessFactors Functional Analyst - Solution...,https://www.dice.com/jobs/detail/SuccessFactors-Functional-Analyst-%26%2345-Solution-Developer%26%2345-USDC-Deloitte-Tampa-FL-33601/10106525/24258332000005732?icid=sr5-1p&q=Developer&l=33613,"O v erview Deloitte is one of the leading professional services organizations in the United States, specializing in...",Deloitte,https://www.dice.com/company/10106525,"Tampa, FL",2016-11-14 06:48:34 -0500
Web Developer Senior,https://www.dice.com/jobs/detail/Web-Developer-Senior-RMS-Computer-Corporation-Tampa-FL-33610/gsc/16-01525n?icid=sr6-1p&q=Developer&l=33613,"Our client, a leading global financial services company, has approximately 200 million customer accounts and...",RMS Computer Corporation,https://www.dice.com/company/gsc,"Tampa, FL",2016-11-11 18:48:34 -0500
AVP Sr. ETL Developer Ab Initio Tampa,https://www.dice.com/jobs/detail/AVP-Sr.-ETL-Developer-Ab-Initio-Tampa-Bebee-Affinity-Social-Network-Tampa-FL-33601/90940991/BBA000012834909?icid=sr7-1p&q=Developer&l=33613,The Reference Data Sr. Programmer Analyst will closely interact with the program support team including...,Bebee Affinity Social Network,https://www.dice.com/company/90940991,"Tampa, FL",2016-11-14 05:48:34 -0500
Senior PEGA Developer,https://www.dice.com/jobs/detail/Senior-PEGA-Developer-Wellcare-Health-Plans%2C-Inc-Tampa-FL-33601/RTL209468/1603740?icid=sr8-1p&q=Developer&l=33613,"Are you interested in a fast paced, growing and exciting development environment? Are you an engineer that thrives in a...","Wellcare Health Plans, Inc",https://www.dice.com/company/RTL209468,"Tampa, FL",2016-11-14 04:48:34 -0500
Senior Developer - NET,https://www.dice.com/jobs/detail/Senior-Developer-%26%2345-NET-Wellcare-Health-Plans%2C-Inc-Tampa-FL-33601/RTL209468/1604253?icid=sr9-1p&q=Developer&l=33613,"The Senior Software Engineer is accountable for the implementation of, or complex changes to, information...","Wellcare Health Plans, Inc",https://www.dice.com/company/RTL209468,"Tampa, FL",2016-11-14 04:48:34 -0500
Software Engineer - Senior,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Senior-Wellcare-Health-Plans%2C-Inc-Tampa-FL-33601/RTL209468/1604079?icid=sr10-1p&q=Developer&l=33613,"The Senior Software Engineer is accountable for the implementation of, or complex changes to, information...","Wellcare Health Plans, Inc",https://www.dice.com/company/RTL209468,"Tampa, FL",2016-11-14 04:48:34 -0500
Senior Level Front-End Software Engineer,https://www.dice.com/jobs/detail/Senior-Level-Front%26%2345End-Software-Engineer-Datis-Tampa-FL-33602/RTX1851SC/768128?icid=sr11-1p&q=Developer&l=33613,Senior Level Front-End Software Engineer Are you currently seeking an opportunity within an exhilarating and...,Datis,https://www.dice.com/company/RTX1851SC,"Tampa, FL",2016-11-14 10:48:34 -0500
Senior Level Back-End Software Engineer,https://www.dice.com/jobs/detail/Senior-Level-Back%26%2345End-Software-Engineer-Datis-Tampa-FL-33602/RTX1851SC/768140?icid=sr12-1p&q=Developer&l=33613,Senior Level Back-End Software Engineer Are you currently seeking an opportunity within an exhilarating and...,Datis,https://www.dice.com/company/RTX1851SC,"Tampa, FL",2016-11-14 10:48:34 -0500
Report Developer,https://www.dice.com/jobs/detail/Report-Developer-Bebee-Affinity-Social-Network-Tampa-FL-33601/90940991/BBA000012834889?icid=sr13-1p&q=Developer&l=33613,MINIMUM QUALIFICATIONS : This position requires a Bachelor's degree in information technology or a related...,Bebee Affinity Social Network,https://www.dice.com/company/90940991,"Tampa, FL",2016-11-14 05:48:34 -0500
Junior .Net Developer,https://www.dice.com/jobs/detail/Junior-.Net-Developer-Bebee-Affinity-Social-Network-Clearwater-FL-33755/90940991/BBA000012835029?icid=sr14-1p&q=Developer&l=33613,Willingness and drive to learn new languages and technologies Demonstrate the ability to work in a team environment...,Bebee Affinity Social Network,https://www.dice.com/company/90940991,"Clearwater, FL",2016-11-14 05:48:34 -0500
VP Sr. Java \ Agile Developer,https://www.dice.com/jobs/detail/VP-Sr.-Java-%26%2392-Agile-Developer-Bebee-Affinity-Social-Network-Tampa-FL-33601/90940991/BBA000012834969?icid=sr15-1p&q=Developer&l=33613,"Contribute to and implement the technical design as part of a Scrum team on a global Asset Servicing project, providing...",Bebee Affinity Social Network,https://www.dice.com/company/90940991,"Tampa, FL",2016-11-14 05:48:34 -0500
Front End Web Developer,https://www.dice.com/jobs/detail/Front-End-Web-Developer-AutoLoop%26%2347dba-Loop-LLC-Clearwater-FL-33755/RTX166928/761785?icid=sr16-1p&q=Developer&l=33613,AutoLoop is looking for a Front-End Web Developer to add to our Engineering Team. This applicant must have the ability...,AutoLoop/dba Loop LLC,https://www.dice.com/company/RTX166928,"Clearwater, FL",2016-11-11 18:48:34 -0500
Senior .NET Application Developer,https://www.dice.com/jobs/detail/Senior-.NET-Application-Developer-Wolters-Kluwer-TeamMate-Tampa-FL-33607/90929398a/16-15105?icid=sr17-1p&q=Developer&l=33613,.NET Application Developer Position location: Tampa FL 33607 Requisition number 16-15105 About TeamMate (a Wolters...,Wolters Kluwer TeamMate,https://www.dice.com/company/90929398a,"Tampa, FL",2016-10-31 18:48:34 -0400
.NET Developer,https://www.dice.com/jobs/detail/.NET-Developer-Wolters-Kluwer-TeamMate-Tampa-FL-33607/90929398a/16-15280?icid=sr18-1p&q=Developer&l=33613,.NET Application Developer Position location: Tampa FL Requisition number 16-15280 ABOUT TEAMMATE (A WOLTERS KLUWER...,Wolters Kluwer TeamMate,https://www.dice.com/company/90929398a,"Tampa, FL",2016-10-31 18:48:34 -0400
Sr. Software Engineer,https://www.dice.com/jobs/detail/Sr.-Software-Engineer-Ciber-Tampa-FL-33601/10122753/95850?icid=sr19-1p&q=Developer&l=33613,"Live IT Up at Ciber At Ciber, we believe the most inspired, innovative and industrious companies should win, regardless...",Ciber,https://www.dice.com/company/10122753,"Tampa, FL",2016-11-14 15:48:34 -0500
Senior Software Engineer,https://www.dice.com/jobs/detail/Senior-Software-Engineer-Ciber-Tampa-FL-33601/10122753/95442?icid=sr20-1p&q=Developer&l=33613,"Live IT Up at Ciber At Ciber, we believe the most inspired, innovative and industrious companies should win, regardless...",Ciber,https://www.dice.com/company/10122753,"Tampa, FL",2016-11-14 15:48:34 -0500
Senior Software Engineer,https://www.dice.com/jobs/detail/Senior-Software-Engineer-Ciber-Tampa-FL-33601/10122753/95302?icid=sr21-1p&q=Developer&l=33613,"Live IT Up at Ciber At Ciber, we believe the most inspired, innovative and industrious companies should win, regardless...",Ciber,https://www.dice.com/company/10122753,"Tampa, FL",2016-11-14 15:48:34 -0500
Senior Java Developer,https://www.dice.com/jobs/detail/Senior-Java-Developer-RMS-Computer-Corporation-Tampa-FL-33610/gsc/16-01533n?icid=sr22-1p&q=Developer&l=33613,"Our client, a leading global financial services company, has approximately 200 million customer accounts and...",RMS Computer Corporation,https://www.dice.com/company/gsc,"Tampa, FL",2016-11-11 18:48:34 -0500
Software Developer,https://www.dice.com/jobs/detail/Software-Developer-FrankCrum-Clearwater-FL-33756/10451798/760930?icid=sr23-1p&q=Developer&l=33613,FrankCrum - A family of employer solutions FrankCrum contributes to a company’s success by minimizing...,FrankCrum,https://www.dice.com/company/10451798,"Clearwater, FL",2016-10-31 18:48:34 -0400
PowerBuilder Developer,https://www.dice.com/jobs/detail/PowerBuilder-Developer-Ciber-Clearwater-FL-33755/10122753/95670?icid=sr24-1p&q=Developer&l=33613,"Live IT Up at Ciber At Ciber, we believe the most inspired, innovative and industrious companies should win, regardless...",Ciber,https://www.dice.com/company/10122753,"Clearwater, FL",2016-11-14 15:48:34 -0500
Software Engineer,https://www.dice.com/jobs/detail/Software-Engineer-Ciber-Tampa-FL-33601/10122753/95857?icid=sr25-1p&q=Developer&l=33613,"Live IT Up at Ciber At Ciber, we believe the most inspired, innovative and industrious companies should win, regardless...",Ciber,https://www.dice.com/company/10122753,"Tampa, FL",2016-11-14 15:48:34 -0500
