web前端工程师,北京好价网络科技有限公司,13-26万24小时反馈,北京-朝阳区,一.公司介绍 北京好价网络科技有限公司成立于2014年，出品医药电商好药网和移动医疗APP手机看病，前者已有超过20亿营业额，后者是中国最早成功完成可以医保报销的远程医疗、电子处方、处方药配送应用。公司被中国创新创业评审会评为中国众创一百强，手机看病APP被经济观察报评为2015年口碑互联网医疗APP，入选中国品牌创新工程成为NBA官方市场合作伙伴。手机看病APP入驻十万医生，和哈佛医学院、东京大学医学院附属医院也有合作关系。以高效低耗、健康快乐为“企业文化”，好药网和手机看病团队都很少开会，时不时会以“明天天气很好”、“这两天银杏最美”之类的理由放半天假一起出去玩，并一定程度上实现了内部的民主自治，每位员工都有投票权，决定公司的日常事务。 二.团队文化 高效——每月最多开一次全员会议，每次不超过一小时低耗——提倡远程办公、无纸化办公，省时又环保健康——年度体检、就医绿色通道，办公室每日水果供应快乐——每月一次户外玩耍，总裁是个过气段子手三.主营业务远程医疗-手机看病Appwww.shoujikanbing.com医药电商-好药网www.hywang.com
前端经理/主管,北京新东方教育科技(集团)有限公司,15-30万,北京-海淀区,新东方教育科技集团（NYSE:EDU）由1993年11月16日成立的北京新东方学校发展壮大而来，集团以培训为核心，拥有满天星幼儿园、泡泡少儿教育、优能中学教育、基础英语培训、大学英语及考研培训、出国考试培训、多语种培训等多个培训体系，同时在基础教育、职业教育、教育研发、出国咨询、文化产业等方面取得了骄人的成绩。作为中国著名私立教育机构，新东方教育科技集团于2006年9月7日在美国纽约证券交易所成功上市。截止2014年5月，新东方已经在全国50座城市设立了56所学校、31家书店以及703家学习中心。自成立以来，新东方累计面授学员2000万人次。新东方品牌在世界品牌价值实验室（World Brand ValueLab）编制的2010年度《中国品牌500强》排行榜中排名第94位，品牌价值已达64.23亿元。
前端研发工程师,北京红鲤鱼数字电影院线有限公司,10-18万10天内反馈,北京-东城区,   北京红鲤鱼数字电影院线有限公司作为中国特有的县城电影产业平台运营商，红鲤鱼专注于影院投资建设、开发合作、经营管理、专业培训，以及影视制作、广告经营等电影产业中各个环节的运营、服务和专业支持。旗下自营、合作加盟影院，遍布中国22个省市自治区。红鲤鱼的理念是让“四万万县城人民同步看上数字化电影”。        红鲤鱼院线一直秉承着为加盟影院全心全意地提供一站式服务的宗旨： 即从加盟→放映设备支持→营业手续办理→开业筹备→开业活动指导→首轮影片提供→人员培训→市场营销→设备管理→院线支持→运营管理→影院收入提升的整个影院经营过程中，提供一系列全方位的专业服务。一站式管家级服务的精神充分体现在红鲤鱼的各项支持当中。 www.hongliyu.net
前端 工程师,骄阳易成信息科技有限公司,12-18万10天内反馈,北京-海淀区,骄阳易成信息科技有限公司，创建于2014年，公司总部位于北京市，互联网+方案解决商和供应商。
前端开发工程师,北京建谊智慧互联科技有限公司,面议48小时反馈,北京,建谊集团创建于1992年，是一家以BIM信息化为特色的集资本运营、地产投资、EPC（设计施工一体化）、互联网科技、装备制造、物业运维为一体的集团公司，与世界多家500强企业、国内外知名高校建立了长期战略合作关系，目前正在积极筹备上市。顺应互联网时代的潮流，建谊集团将精密的信息化管理系统与BIM（Building Information Modeling）“建筑信息模型”管理手段相结合，致力于打造以智慧城市建造、钢结构装配式住宅及智慧化物业运维为核心的、基于BIM大数据的建筑一体化平台。我们始终认为，“人才”是集团成就未来的必备要素，在如今浮躁喧嚣的大环境下，我们将用建谊“守诚创新、惠企为民”的企业文化作为处事导向，用文化、智慧、科技的力量实现资源价值最大化，把人和事业的完美结合作为努力的方向，走出独属于建谊人的光明大道！
前端开发工程师,北京虫洞空间信息科技有限公司,面议72小时反馈,北京-海淀区,北京虫洞空间信息科技有限公司于2015年12月成立，隶属于中国科学院，是一家以经营实验室用试剂、耗材及仪器设备为主的第三方电子商务公司，致力于成为中国领先的科研服务领域的第三方电商平台和综合服务商。 虫洞空间公司秉承“为实验室服务、促进科技进步”的企业使命，专注于挖掘客户、市场、渠道的需求，不断提供和创新销售、物流、信息、商业模式的综合解决方案。公司树立“以人为本、追求卓越”的企业文化，倡导员工忠于事业、热爱生活、健康快乐，集结一支富有激情活力、不断进取创新的工作伙伴，在一批高素质人才组成的管理团队的带领下，以结果为导向，超越自我、奋勇前行。目前在实验室仪器、试剂、耗材领域，整合优势资源，提供个性化服务，帮助卖方客户上线、推动市场，培养买方客户消费行为，注重用户使用与体验，实现产业规模效益。通过第三方电商平台的优化与迭代、前瞻性的商业模式、便捷的操作方式、完备的运营流程和规章制度，以及无忧的第三方仓储物流服务，切实为中国科研供应链管理做出贡献。 未来，虫洞空间公司致力于打造中国最专业、最全面、最具有权威的网络销售与供应链平台，为科学研究提供基础服务，推动科研产业的信息化发展，促进科学技术的进步。
前端+js开发,奥琦玮信息科技(北京)有限公司,20-33万5天内反馈,北京-海淀区,（一）企业简介：奥琦玮信息科技（北京）有限公司（简称Acewill）成立于2006年，注册于北京大学科技园，注册资金1200万，曾获得包括红杉投资在内的风险投资；为***高新技术企业、***软件企业，曾获***创新基金支持，旗下品牌“餐行健”、“森思达”、“精选100”等。我公司是一家专业致力于数字化餐饮系统研发并普及的高科技企业，是数字化餐饮的倡导者和引领者。公司依托北京大学与清华大学的科研优势，通过自主研发，开发出了国内第一款数字化菜谱（电子菜谱），开创了数字化餐饮服务的新纪元。我公司致力于为优质的连锁餐饮企业提供整体信息化解决方案，我们围绕着原材料的损耗规律、消费者消费偏好，研发了从原料采购、中央厨房加工、物流配送、门店成本管理、前厅运营、会员营销和外卖电商服务系统等全链条的信息化服务系统，致力于提升连锁餐饮企业的利润率，是智能化连锁餐饮管理方案领域的领军企业。我公司目前有员工三百余人，在全国50多个城市设有分销服务机构；餐行健已经服务了包括小南国、大娘水饺、云海肴、将太无二、嘉和一品、雕爷牛腩等知名连锁餐饮企业，通过领先的产品、专业的服务赢得连锁客户的充分认可！餐行健品牌介绍：为给餐饮行业数字化提供更优质的服务，奥琦玮公司推出了“餐行健”自主品牌，“餐行健”取意于“天行健，君子以自强不息”，旨在“帮助餐饮业锐意前行、健康发展”！作为国内首家推出“数字化餐饮”服务系统的企业，我们将通过贴心的专业服务和高性价比的系列产品，帮助餐饮业投资者、管理者提高管理收益、降低运营成本、提高服务水平和拓宽营业渠道！（二）媒体报道：由于奥琦玮公司所推出产品的创新性和实用性，自公司成立以来，受到了国内外多家媒体的广泛关注和报道，其中中央电视台二台经济频道《第一时间》和《全球资讯》栏目先后两次对公司进行了新闻采访和报道，中中央电视台十台科教频道《创新无限》栏目专门为公司制作了专题报道片。同时，我公司还接受了北京电视台、人民网、中国通讯社、中国广播电台、计算机世界、中国青年报、中国日报、北京日报、南方都市报、创业家、中国通信在线、新浪网创业频道、公益中国、前程无忧《新前程》杂志等几十家权威主流媒体的采访和报道。
资深js前端开发,北京科码先锋软件技术有限公司,16-26万72小时反馈,北京-朝阳区,还在为您的企业怎样在电子商务中迈出第一步而犹豫吗？还在为电子商务复杂繁琐的内容而烦恼吗？科码会帮您规划一条清晰的电商之路，我们将复杂繁琐的电子商务变得简单。北京科码先锋软件技术有限公司作为与世界财富500强旗下电商企业合作的电子商务公司，我们有绝对的实力和信心为您打造您的电商梦想。我们有扎实的技术基础，完善的服务体系，尽心尽力的运营、开发团队和认真负责的质量监督管理部门。我们将为您提供强大的个性化服务，开展量身式的商业设计规划，挖掘业务特点，为客户打造最适合自己的电子商务方案，真正让互联网帮助传统企业实现全产业链的战略部署，推动企业建立健全内部管理模式，增加企业内外资源整合能力，拓宽产品销售渠道。
高级前端工程师,中弘控股股份有限公司,面议10天内反馈,北京,中弘控股股份有限公司（股票代码：000979）于2009年在深交所成功上市，公司专注于旅游度假地产、文化创意地产、会议休闲地产、综合商业地产等经营性高端物业的开发与运营，倡导“游乐让生活更精彩”，立志实现“中国旅游地产缔造者”的战略目标。截止2010年末，公司累计已开发物业面积百万平米以上，总资产60多亿元人民币。公司实行总部与区域公司二级管控模式，目前已设立北京、海南、云南、吉林、山东、湖北六大区域公司，已建、在建及拟建项目包括：北京市六十大重点工程之一的“非中心--中国特色经济之窗”、创新型商业 “六佰本--望京商业街”、CBD东扩区创意商务办公项目“中弘·北京像素”、海口西海岸都市休闲度假综合体“西岸首府”、东坝“中国之窗城市综合体”、平谷“御马坊国际生态度假城”、怀柔“西游记文化创意产业园”、北京“东区国际--中弘大厦”、海口“南国荔园国际旅游度假区”及“海口人工岛国际旅游度假区”、云南“西双版纳国际旅游度假区”、吉林“长白山国际旅游度假区”、济宁“微山岛国际旅游度假区”、三峡“明珠半岛国际旅游度假区”等多个大型旅游及商业地产项目。    现诚邀有识之士加盟，共建伟业！
中级前端工程师,中弘控股股份有限公司,面议10天内反馈,北京,中弘控股股份有限公司（股票代码：000979）于2009年在深交所成功上市，公司专注于旅游度假地产、文化创意地产、会议休闲地产、综合商业地产等经营性高端物业的开发与运营，倡导“游乐让生活更精彩”，立志实现“中国旅游地产缔造者”的战略目标。截止2010年末，公司累计已开发物业面积百万平米以上，总资产60多亿元人民币。公司实行总部与区域公司二级管控模式，目前已设立北京、海南、云南、吉林、山东、湖北六大区域公司，已建、在建及拟建项目包括：北京市六十大重点工程之一的“非中心--中国特色经济之窗”、创新型商业 “六佰本--望京商业街”、CBD东扩区创意商务办公项目“中弘·北京像素”、海口西海岸都市休闲度假综合体“西岸首府”、东坝“中国之窗城市综合体”、平谷“御马坊国际生态度假城”、怀柔“西游记文化创意产业园”、北京“东区国际--中弘大厦”、海口“南国荔园国际旅游度假区”及“海口人工岛国际旅游度假区”、云南“西双版纳国际旅游度假区”、吉林“长白山国际旅游度假区”、济宁“微山岛国际旅游度假区”、三峡“明珠半岛国际旅游度假区”等多个大型旅游及商业地产项目。    现诚邀有识之士加盟，共建伟业！
