title,company,link,location,date,company_id,job_id
Ruby on Rails Software Engineer 3/4 - TS/SCI w/poly required.,"NORTHROP GRUMMAN,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Software-Engineer-3%26%23474-%26%2345-TS%26%2347SCI-w%26%2347poly-required.-NORTHROP-GRUMMAN-Dulles-VA-20101/ngitbot/16010578?icid=sr1-1p&q=rails&l=Washington, DC","Dulles, VA",12-22-2016,ngitbot ,16010578
"Software Engineer, Ruby on Rails","The Advisory Board Company,","https://www.dice.com/jobs/detail/Software-Engineer%2C-Ruby-on-Rails-The-Advisory-Board-Company-Washington-Dc-DC-56920/10118429/JO161110618-912?icid=sr2-1p&q=rails&l=Washington, DC","Washington Dc, DC",12-22-2016,10118429,JO161110618-912
"Associate Software Engineer, Ruby on Rails","The Advisory Board Company,","https://www.dice.com/jobs/detail/Associate-Software-Engineer%2C-Ruby-on-Rails-The-Advisory-Board-Company-Washington-D.c.%3B-Birmingham%2C-Al%3B-Remote%26%2347virtual-DC-56920/10118429/JO161210726-487?icid=sr3-1p&q=rails&l=Washington, DC","Washington D.c.; Birmingham, Al; Remote/virtual, DC",12-22-2016,10118429,JO161210726-487
"Senior Software Engineer, Ruby on Rails","The Advisory Board Company,","https://www.dice.com/jobs/detail/Senior-Software-Engineer%2C-Ruby-on-Rails-The-Advisory-Board-Company-Washington%2C-D.c.%3B-Birmingham%2C-Al%3B-Remote%26%2347virtual-DC-56920/10118429/JO161210725-869?icid=sr4-1p&q=rails&l=Washington, DC","Washington, D.c.; Birmingham, Al; Remote/virtual, DC",12-22-2016,10118429,JO161210725-869
Ruby on Rails Developer,"Noblis,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Noblis-Reston-VA-20190/10110945/4977?icid=sr5-1p&q=rails&l=Washington, DC","Reston, VA",12-22-2016,10110945 ,4977
Ruby on Rails Developer,"OBSIDIAN Global, LLC,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-OBSIDIAN-Global%2C-LLC-Washington-DC-20007/10207693/791070?icid=sr6-1p&q=rails&l=Washington, DC","Washington, DC",12-20-2016,10207693,791070
Full-Stack Ruby on Rails Developer,"CyberCoders,","https://www.dice.com/jobs/detail/Full%26%2345Stack-Ruby-on-Rails-Developer-CyberCoders-Washington-DC-20001/cybercod/CB2-127502970?icid=sr7-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,CB2-127502970
Full-Stack Ruby on Rails Developer,"CyberCoders,","https://www.dice.com/jobs/detail/Full%26%2345Stack-Ruby-on-Rails-Developer-CyberCoders-Washington-DC-20001/cybercod/CB2-1311473120?icid=sr8-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,CB2-1311473120
Senior Ruby on Rails Software Developer,"CyberCoders,","https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Software-Developer-CyberCoders-Washington-DC-20001/cybercod/SS2-133140637?icid=sr9-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,SS2-133140637
Senior Ruby on Rails Software Developer (100% Remote),"CyberCoders,","https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Software-Developer-%28100%26%2337-Remote%29-CyberCoders-Washington-DC-20001/cybercod/SS2-133140137?icid=sr10-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,SS2-133140137
Full-Stack Ruby on Rails Developer (Rails / Angular),"CyberCoders,","https://www.dice.com/jobs/detail/Full%26%2345Stack-Ruby-on-Rails-Developer-%28Rails-%26%2347-Angular%29-CyberCoders-Washington-DC-20001/cybercod/SS2-1236481204?icid=sr11-1p&q=rails&l=Washington, DC","Washington, DC",12-22-2016,cybercod ,SS2-1236481204
Ruby on Rails Engineer,"Capitol Search, LTD,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Engineer-Capitol-Search%2C-LTD-Washington-DC-20006/10233327/096364?icid=sr12-1p&q=rails&l=Washington, DC","Washington, DC",12-05-2016,10233327,096364
Sr Ruby Rails Developer,"Technology Resource Group,","https://www.dice.com/jobs/detail/Sr-Ruby-Rails-Developer-Technology-Resource-Group-Rockville-MD-20847/90734436/16-07561?icid=sr13-1p&q=rails&l=Washington, DC","Rockville, MD",11-23-2016,90734436,16-07561
Sr Ruby Rails Developer,"Technology Resource Group,","https://www.dice.com/jobs/detail/Sr-Ruby-Rails-Developer-Technology-Resource-Group-Rockville-MD-20847/90734436/16-07332?icid=sr14-1p&q=rails&l=Washington, DC","Rockville, MD",11-23-2016,90734436,16-07332
Ruby on Rails Developer  Remote,"Webilent Technologies, Inc.,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer--Remote-Webilent-Technologies%2C-Inc.-Washington-DC-20002/10123697/791916?icid=sr15-1p&q=rails&l=Washington, DC","Washington, DC",12-02-2016,10123697,791916
Ruby On Rails Developer,"MetaSense, Inc.,","https://www.dice.com/jobs/detail/Ruby-On-Rails-Developer-MetaSense%2C-Inc.-Rockville-MD-20848/10282828/802784?icid=sr16-1p&q=rails&l=Washington, DC","Rockville, MD",12-09-2016,10282828,802784
Ruby on Rails Developer,"Hirex,","https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Hirex-Columbia-MD-21045/90962354/20160828?icid=sr17-1p&q=rails&l=Washington, DC","Columbia, MD",12-05-2016,90962354,20160828
Lead Ruby on Rails Lead,"MetaSense, Inc.,","https://www.dice.com/jobs/detail/Lead-Ruby-on-Rails-Lead-MetaSense%2C-Inc.-Rockville-MD-20847/10282828/798402?icid=sr18-1p&q=rails&l=Washington, DC","Rockville, MD",12-07-2016,10282828,798402
Front-End/Web Developer w/ Ruby-On-Rails experience,"Vector Talent Resources,","https://www.dice.com/jobs/detail/Front%26%2345End%26%2347Web-Developer-w%26%2347-Ruby%26%2345On%26%2345Rails-experience-Vector-Talent-Resources-Washington-DC-20002/10520970/00615?icid=sr19-1p&q=rails&l=Washington, DC","Washington, DC",11-21-2016,10520970,00615
Ruby on Rails/Mobile Developer!,"Capitol Search, LTD,","https://www.dice.com/jobs/detail/Ruby-on-Rails%26%2347Mobile-Developer%21-Capitol-Search%2C-LTD-Alexandria-VA-22314/10233327/230460?icid=sr20-1p&q=rails&l=Washington, DC","Alexandria, VA",12-05-2016,10233327,230460
Direct client : Lead  Ruby on Rails,"Sunera Technologies,","https://www.dice.com/jobs/detail/Direct-client-%3A-Lead--Ruby-on-Rails-Sunera-Technologies-Dulles-VA-20101/10117130/SP-RR-VA?icid=sr21-1p&q=rails&l=Washington, DC","Dulles, VA",12-22-2016,10117130,SP-RR-VA
Software Developer,"United Service Organizations,","https://www.dice.com/jobs/detail/Software-Developer-United-Service-Organizations-Arlington-VA-22201/RTX185eaf/4792733?icid=sr22-1p&q=rails&l=Washington, DC","Arlington, VA",12-18-2016,RTX185eaf,4792733
Frontend Developer,"Integrated Systems, Inc.,","https://www.dice.com/jobs/detail/Frontend-Developer-Integrated-Systems%2C-Inc.-Vienna-VA-22182/10119700/807332?icid=sr23-1p&q=rails&l=Washington, DC","Vienna, VA",12-15-2016,10119700,807332
