Title,Company,Link,Location,Date,Company Id,Job Id
"Sr. Ruby on Rails Developer (AWS, API, Full Stack, Selenium) in NYC",DBA Web Technologies,"https://www.dice.com/jobs/detail/Sr.-Ruby-on-Rails-Developer-%28AWS%2C-API%2C-Full-Stack%2C-Selenium%29-in-NYC-DBA-Web-Technologies-New-York-NY-10017/10216777/R_RoR_NYC?icid=sr1-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 06:29:50 -0500,10216777,R_RoR_NYC
Full Stack Software Engineer - Ruby On Rails / Java,JMD Partners,"https://www.dice.com/jobs/detail/Full-Stack-Software-Engineer-%26%2345-Ruby-On-Rails-%26%2347-Java-JMD-Partners-New-York-NY-10017/10225460/349950?icid=sr2-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-15 18:29:50 -0500,10225460,349950
RUBY ON RAILS SENIOR DEVELOPER,CPS Comtech,"https://www.dice.com/jobs/detail/RUBY-ON-RAILS-SENIOR-DEVELOPER-CPS-Comtech-Manhattan-NY-10001/10369046/913745?icid=sr3-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 12:29:50 -0500,10369046,913745
"DevOps Engineer - Ruby, Python, AWS, Chef, Python",JMD Partners,"https://www.dice.com/jobs/detail/DevOps-Engineer-%26%2345-Ruby%2C-Python%2C-AWS%2C-Chef%2C-Python-JMD-Partners-New-York-NY-10017/10225460/338281?icid=sr4-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-15 18:29:50 -0500,10225460,338281
"DevOps Engineer - Ruby, Chef, AWS",JMD Partners,"https://www.dice.com/jobs/detail/DevOps-Engineer-%26%2345-Ruby%2C-Chef%2C-AWS-JMD-Partners-New-York-NY-10017/10225460/348188?icid=sr5-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-15 18:29:50 -0500,10225460,348188
ruby on rails,"ScrumLink, Inc.",http://www.dice.com/job/result/10457621/358106?icid=sr6-1p,"New York City, NY",2016-01-13 18:29:50 -0500,10457621,358106
"Senior Ruby on Rails Developer - Ruby, Ruby on Rails",CyberCoders,"https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Developer-%26%2345-Ruby%2C-Ruby-on-Rails-CyberCoders-Manhattan-NY-10001/cybercod/RS-123553215?icid=sr7-1p&q=Ruby&l=Oakland, NJ","Manhattan, NY",2016-01-18 08:29:50 -0500,cybercod,RS-123553215
Sr. Ruby on Rails Developer,TRUMARK Executive Search,"https://www.dice.com/jobs/detail/Sr.-Ruby-on-Rails-Developer-TRUMARK-Executive-Search-New-York-NY-10001/10384475/300825?icid=sr8-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-11 18:29:50 -0500,10384475,300825
Ruby on Rails Developer,eclaro,http://www.dice.com/job/result/ndi/15-13143?icid=sr9-1p,"New York, NY",2016-01-14 18:29:50 -0500,ndi,15-13143
100% Remote Senior Ruby on Rails Software Developer,CyberCoders,"https://www.dice.com/jobs/detail/100%26%2337-Remote-Senior-Ruby-on-Rails-Software-Developer-CyberCoders-New-York-NY-10001/cybercod/SS2-124175413?icid=sr10-1p&q=Ruby&l=Oakland, NJ","New York, NY",2016-01-18 08:29:50 -0500,cybercod,SS2-124175413
